Mô hình,Loại,Accuracy,Precision,Recall (Spam),F1-Score
BiLSTM (Adam + Dropout),Baseline,0.9949622166246851,0.9910044977511244,1.0,0.9954819277108434
BiLSTM (SGD + Dropout),Baseline,0.9865659109991604,0.9791976225854383,0.9969742813918305,0.9880059970014993
BiLSTM (Adam + Weight Decay),Baseline,0.9932829554995802,0.9880418535127056,1.0,0.9939849624060151
BERT MoE (AdamW – Full FT),Nâng cao,0.980688497061293,0.978978978978979,0.9863842662632375,0.9826676714393369
BERT MoE (SGD – Full FT),Nâng cao,0.906801007556675,0.9092261904761905,0.924357034795764,0.9167291822955739
BERT MoE (AdamW – Frozen),Nâng cao,0.927791771620487,0.9055007052186178,0.9712556732223904,0.9372262773722628
